target	class
AAMP	Translation
AARS	Transport
AATF	Translation
ABCB7	Transport
ABCE1	Translation
ABCF1	Translation
ABT1	Transcription
ACTB	Other
ACTL6A	DNA_Repair
ACTR6	Transcription
ACTR8	DNA_Repair
AHCTF1	Transport
AHCY	Metabolism
AKIRIN2	Immune_Response
ALDOA	Cell_Cycle
ALG13	Other
ALG2	Protein_Folding
ALYREF	Transcription
ANAPC2	Protein_Degradation
ANAPC4	Protein_Degradation
ANKRD11	Development
AP2S1	Transport
AQR	Transcription
ARCN1	Transport
ARGLU1	Transcription
ARIH1	Protein_Degradation
ARL2	Chromatin
ARMC7	Transcription
ARPC4	Other
ATF4	Other
ATF5	Transcription
ATP1A1	Development
ATP6AP1	Transport
ATP6V0B	Transport
ATP6V0C	Transport
ATP6V1A	Transport
ATP6V1B2	Transport
ATR	Chromatin
ATRIP	DNA_Repair
BANP	Other
BAP1	Other
BCAS2	Transcription
BDP1	Translation
BGLAP	Chromatin
BMS1	Transcription
BNIP1	Transport
BOP1	Transcription
BRD8	Signal_Transduction
BRIX1	Development
BTF3	Development
BUB3	Chromatin
BUD13	Transcription
BUD31	Transcription
BYSL	Translation
C12orf45	Translation
C14orf178	Transcription
C1QBP	Development
C7orf26	Signal_Transduction
CACTIN	Transcription
CAPZB	Protein_Folding
CASP8AP2	Signal_Transduction
CBLL1	Other
CCDC174	Transport
CCDC59	Translation
CCDC84	Protein_Folding
CCDC86	Chromatin
CCNH	Transcription
CCNK	Transcription
CCT2	Protein_Folding
CCT3	Protein_Folding
CCT4	Protein_Folding
CCT5	Protein_Folding
CCT6A	Protein_Folding
CCT7	Protein_Folding
CCT8	Protein_Folding
CD3EAP	Translation
CDAN1	Chromatin
CDC123	Translation
CDC16	Protein_Degradation
CDC23	Cell_Cycle
CDC27	Cell_Cycle
CDC40	Transcription
CDC5L	Transcription
CDC6	Cell_Cycle
CDC73	Chromatin
CDK1	Cell_Cycle
CDK9	Transcription
CEBPZ	Translation
CENPC	Chromatin
CENPE	Chromatin
CENPJ	Translation
CENPK	Transcription
CEP192	Chromatin
CHAF1A	Chromatin
CHAF1B	Cell_Cycle
CHCHD4	Transport
CHD4	Transcription
CHEK1	Chromatin
CHERP	Transport
CHMP1A	Protein_Degradation
CHMP2A	Protein_Degradation
CHMP3	Protein_Degradation
CHMP6	Protein_Degradation
CIAPIN1	Transport
CINP	Cell_Cycle
CKAP5	Chromatin
CLNS1A	Transcription
CLP1	Transcription
CLSPN	DNA_Repair
CLTC	Transport
CMTR1	Transcription
CNIH4	Transport
CNOT1	Transcription
CNOT2	Transcription
CNOT3	Transport
COG2	Transport
COG3	Transport
COPB1	Transport
COPB2	Transport
COPS2	Chromatin
COPS3	Chromatin
COPS4	Chromatin
COPS5	Other
COPS6	Protein_Folding
COPS8	Other
COPZ1	Transport
COX11	Transport
COX15	Transport
COX17	Transport
COX7C	Transport
CPSF1	Transcription
CPSF3	Transcription
CPSF4	Transcription
CPSF6	Transcription
CRNKL1	Transcription
CSE1L	Chromatin
CSNK1A1	Transport
CSNK2B	Transport
CSTF1	Transcription
CSTF3	Transcription
CTDP1	Transcription
CTNNBL1	Transcription
CTR9	Transcription
CUL1	Protein_Degradation
CUL2	Protein_Degradation
CUL7	Transcription
CWC15	Transcription
CWC22	Transcription
CWF19L2	Transcription
CXXC1	Transcription
CYCS	Transport
DAD1	Other
DAP3	Transport
DARS	Transport
DBR1	Transcription
DCUN1D5	Transcription
DDB1	Chromatin
DDOST	Other
DDX10	Transcription
DDX18	Transcription
DDX20	Transcription
DDX21	Transcription
DDX23	Transcription
DDX24	Translation
DDX27	Transcription
DDX41	Transcription
DDX46	Transcription
DDX47	Transcription
DDX49	Transcription
DDX5	Transcription
DDX51	Transcription
DDX52	Transcription
DDX54	Transcription
DDX55	Transcription
DDX56	Transcription
DDX59	Other
DDX6	Transcription
DENR	Translation
DERL2	Chromatin
DHDDS	Protein_Folding
DHODH	Other
DHX15	Immune_Response
DHX16	Transcription
DHX33	Transcription
DHX36	Transcription
DHX37	Development
DICER1	Transcription
DIMT1	Transcription
DIS3	Transcription
DKC1	Transcription
DLD	Chromatin
DMAP1	Transcription
DNAJA3	Transport
DNAJC17	Transcription
DNAJC19	Protein_Folding
DNAJC8	Other
DNM1L	Transport
DNMT1	Transcription
DNTTIP2	Transcription
DOHH	Other
DONSON	Cell_Cycle
DPH2	Other
DR1	Transcription
DRAP1	Transcription
DSN1	Chromatin
DTL	Protein_Degradation
DTYMK	Cell_Cycle
DUT	Cell_Cycle
DYNC1H1	Chromatin
DYNC1I2	Chromatin
DYNLL1	Cell_Cycle
DYNLRB1	Chromatin
E4F1	Cell_Cycle
EBNA1BP2	Transcription
ECD	Transcription
EEF1G	Translation
EEF2	Immune_Response
EFTUD2	Transcription
EIF1AX	Translation
EIF2B1	Translation
EIF2B2	Translation
EIF2B3	Translation
EIF2B4	Translation
EIF2B5	Protein_Folding
EIF2S1	Protein_Folding
EIF2S2	Translation
EIF2S3	Translation
EIF3A	Translation
EIF3B	Translation
EIF3CL	Translation
EIF3D	Translation
EIF3E	Translation
EIF3F	Translation
EIF3G	Translation
EIF3H	Translation
EIF3I	Translation
EIF3J	Translation
EIF3M	Translation
EIF4E	Translation
EIF4G1	Translation
EIF4G2	Translation
EIF5	Translation
EIF5A	Translation
EIF6	Translation
ELP3	Transcription
ELP5	Transcription
EP400	Signal_Transduction
EPRS	Transport
ERCC2	Development
ERCC3	Transcription
ERH	Metabolism
ESF1	Transcription
ETF1	Translation
EXOC7	Transport
EXOSC10	Transcription
EXOSC2	Transcription
EXOSC3	Transcription
EXOSC4	Transcription
EXOSC5	Transcription
EXOSC6	Transcription
EXOSC7	Transcription
EXOSC8	Transcription
EXOSC9	Transcription
FAM136A	Development
FAM32A	Transcription
FAM50A	Transcription
FARSA	Transcription
FARSB	Transcription
FASTKD5	Transcription
FAU	Immune_Response
FBL	Transcription
FBXO5	Cell_Cycle
FCF1	Transcription
FNTA	Transcription
FTSJ3	Transcription
GAB2	Signal_Transduction
GAR1	Other
GARS	Other
GATA1	Development
GBF1	Transport
GEMIN5	Transcription
GFER	Development
GFM1	Translation
GINS1	Cell_Cycle
GINS2	Cell_Cycle
GINS3	Cell_Cycle
GINS4	Cell_Cycle
GLE1	Transcription
GMPS	Signal_Transduction
GNL2	Translation
GNL3	Translation
GNL3L	Translation
GOLT1B	Transport
GPKOW	Transcription
GPN1	Transcription
GPN2	Development
GPN3	Transcription
GPS1	Protein_Folding
GRB2	Signal_Transduction
GRPEL1	Protein_Folding
GRSF1	Transcription
GSPT1	Translation
GTF2A1	Transcription
GTF2A2	Transcription
GTF2B	Transcription
GTF2E1	Transcription
GTF2E2	Transcription
GTF2F2	Transcription
GTF2H1	Transcription
GTF2H4	DNA_Repair
GTF3C3	Transcription
GTPBP4	Translation
GUCD1	Transcription
HARS	Transport
HARS2	Translation
HAUS4	Chromatin
HAUS5	Chromatin
HBS1L	Translation
HDAC7	Cell_Cycle
HEATR1	Transcription
HGS	Transport
HINFP	Transcription
HIRA	Chromatin
HMGCS1	Transport
HNRNPC	Transcription
HNRNPH1	Transcription
HNRNPL	Transcription
HNRNPM	Transcription
HNRNPU	Transcription
HSCB	Transport
HSD17B12	Transport
HSF1	Other
HSPA5	Protein_Folding
HSPA8	Signal_Transduction
HSPA9	Transport
HSPE1	Protein_Folding
HUWE1	Protein_Degradation
HYPK	Development
IARS	Transport
IARS2	Transcription
ICE1	Transcription
IGBP1	Chromatin
IK	Transcription
ILF2	Transcription
ILF3	Other
IMP4	Transcription
IMPDH2	Signal_Transduction
INO80	DNA_Repair
INO80B	DNA_Repair
INTS1	Transcription
INTS2	Transcription
INTS3	Transcription
INTS4	Transcription
INTS5	Transcription
INTS6	Transcription
INTS7	Transcription
INTS8	Transcription
INTS9	Transcription
IPO13	Other
IPO9	Other
ISCU	Transport
ISG20L2	Metabolism
JAZF1	Transcription
KANSL1	Transcription
KANSL2	Chromatin
KANSL3	Transcription
KARS	Transport
KAT8	Other
KCTD10	Protein_Degradation
KIF20A	Cell_Cycle
KIN	DNA_Repair
KPNB1	Transcription
KRI1	Translation
KRR1	Transcription
LAMTOR2	Chromatin
LAMTOR4	Development
LARS	Transport
LAS1L	Transcription
LETM1	Transport
LIN54	Transcription
LONP1	Transport
LRPPRC	Transcription
LSG1	Translation
LSM10	Transcription
LSM11	Transcription
LSM2	Transcription
LSM3	Transcription
LSM4	Transcription
LSM5	Transcription
LSM6	Transcription
LSM7	Transcription
LTV1	Translation
LUC7L3	Transcription
MAD2L1	Transport
MAGOH	Transcription
MAK16	Transcription
MARS	Transport
MARS2	Transcription
MAT2A	Transcription
MAU2	DNA_Repair
MAX	Transcription
MCM10	Cell_Cycle
MCM2	Cell_Cycle
MCM3	Cell_Cycle
MCM3AP	Transcription
MCM4	Cell_Cycle
MCM6	Cell_Cycle
MCMBP	Cell_Cycle
MDN1	Translation
MED1	Development
MED10	Transcription
MED11	Transcription
MED12	Development
MED14	Transcription
MED17	Transcription
MED19	Transcription
MED20	Transcription
MED21	Transcription
MED22	Transcription
MED26	Transcription
MED28	Transcription
MED29	Transcription
MED30	Transcription
MED31	Transcription
MED4	Transcription
MED6	Transcription
MED7	Transcription
MED8	Transcription
MED9	Transcription
METAP2	Protein_Folding
METTL14	Transcription
METTL16	Transcription
METTL3	Transcription
MEX3A	Other
MFAP1	Transcription
MICOS10	Transport
MIOS	Transport
MMS22L	Cell_Cycle
MNAT1	Transcription
MOB4	Signal_Transduction
MPHOSPH10	Transcription
MRGBP	Transcription
MRPL10	Translation
MRPL13	Translation
MRPL14	Translation
MRPL16	Translation
MRPL17	Translation
MRPL18	Translation
MRPL19	Translation
MRPL2	Translation
MRPL22	Translation
MRPL24	Translation
MRPL27	Translation
MRPL3	Translation
MRPL32	Translation
MRPL33	Translation
MRPL35	Translation
MRPL36	Translation
MRPL37	Translation
MRPL38	Transport
